Id;start;end
0;0;1
1;1;2
2;2;0
3;3;1
4;2;3
5;2;4
6;4;3
7;5;2
8;4;5
9;5;6
10;6;2
11;0;6
12;3;7
13;7;8
14;8;3
15;9;7
16;8;9
17;9;10
18;10;8
19;11;10
20;8;11
21;8;4
22;4;11
23;4;12
24;12;11
25;12;5
26;11;13
27;13;12
28;14;13
29;12;14
30;14;15
31;15;12
32;5;15
33;6;16
34;16;0
35;16;5
36;16;17
37;17;5
38;18;16
39;17;18
40;18;19
41;19;16
42;0;19
43;15;20
44;20;5
45;20;14
46;14;21
47;21;20
48;22;21
49;20;22
50;20;17
51;17;22
52;17;23
53;23;22
54;23;18
55;22;24
56;24;23
57;25;24
58;23;25
59;25;26
60;26;23
61;18;26
62;24;27
63;27;25
64;27;22
65;27;28
66;28;22
67;29;27
68;28;29
69;29;30
70;30;27
71;25;30
72;21;31
73;31;22
74;31;14
75;14;32
76;32;31
77;33;32
78;31;33
79;31;28
80;28;33
81;28;34
82;34;33
83;34;29
84;33;35
85;35;34
86;36;35
87;34;36
88;36;37
89;37;34
90;29;37
91;36;38
92;38;39
93;39;36
94;40;38
95;39;40
96;39;41
97;41;40
98;33;39
99;41;33
100;35;39
101;40;42
102;42;43
103;43;40
104;9;42
105;43;9
106;10;43
107;43;11
108;43;41
109;41;11
110;41;44
111;44;11
112;44;33
113;13;44
114;44;14
115;32;44
116;9;45
117;45;46
118;46;9
119;47;45
120;46;47
121;46;48
122;48;47
123;3;46
124;48;3
125;7;46
126;47;49
127;49;50
128;50;47
129;51;49
130;50;51
131;51;52
132;52;50
133;53;52
134;50;53
135;50;48
136;48;53
137;48;54
138;54;53
139;54;3
140;53;55
141;55;54
142;0;55
143;54;0
144;1;54
145;42;56
146;56;9
147;56;40
148;56;57
149;57;40
150;47;56
151;57;47
152;45;56
153;38;58
154;58;40
155;58;36
156;36;59
157;59;58
158;60;59
159;58;60
160;58;57
161;57;60
162;57;61
163;61;60
164;61;47
165;60;62
166;62;61
167;51;62
168;61;51
169;49;61
170;59;63
171;63;36
172;63;60
173;63;64
174;64;60
175;29;63
176;64;29
177;37;63
178;62;65
179;65;60
180;65;51
181;51;66
182;66;65
183;67;66
184;65;67
185;65;64
186;64;67
187;64;68
188;68;67
189;68;29
190;67;69
191;69;68
192;25;69
193;68;25
194;30;68
195;19;70
196;70;0
197;70;18
198;70;71
199;71;18
200;53;70
201;71;53
202;55;70
203;26;72
204;72;18
205;72;25
206;69;72
207;72;67
208;72;71
209;71;67
210;71;73
211;73;67
212;73;53
213;66;73
214;73;51
215;52;73
