Id;x;y;z
0;1;0;0
1;0.948683;0.316228;0
2;0.942809;0.235702;0.235702
3;0.707107;0.707107;0
4;0.57735;0.57735;0.57735
5;0.707107;0;0.707107
6;0.948683;0;0.316228
7;0.316228;0.948683;0
8;0.235702;0.942809;0.235702
9;0;1;0
10;0;0.948683;0.316228
11;0;0.707107;0.707107
12;0.235702;0.235702;0.942809
13;0;0.316228;0.948683
14;0;0;1
15;0.316228;0;0.948683
16;0.942809;-0.235702;0.235702
17;0.57735;-0.57735;0.57735
18;0.707107;-0.707107;0
19;0.948683;-0.316228;0
20;0.235702;-0.235702;0.942809
21;0;-0.316228;0.948683
22;0;-0.707107;0.707107
23;0.235702;-0.942809;0.235702
24;0;-0.948683;0.316228
25;0;-1;0
26;0.316228;-0.948683;0
27;-0.235702;-0.942809;0.235702
28;-0.57735;-0.57735;0.57735
29;-0.707107;-0.707107;0
30;-0.316228;-0.948683;0
31;-0.235702;-0.235702;0.942809
32;-0.316228;0;0.948683
33;-0.707107;0;0.707107
34;-0.942809;-0.235702;0.235702
35;-0.948683;0;0.316228
36;-1;0;0
37;-0.948683;-0.316228;0
38;-0.948683;0.316228;0
39;-0.942809;0.235702;0.235702
40;-0.707107;0.707107;0
41;-0.57735;0.57735;0.57735
42;-0.316228;0.948683;0
43;-0.235702;0.942809;0.235702
44;-0.235702;0.235702;0.942809
45;0;0.948683;-0.316228
46;0.235702;0.942809;-0.235702
47;0;0.707107;-0.707107
48;0.57735;0.57735;-0.57735
49;0;0.316228;-0.948683
50;0.235702;0.235702;-0.942809
51;0;0;-1
52;0.316228;0;-0.948683
53;0.707107;0;-0.707107
54;0.942809;0.235702;-0.235702
55;0.948683;0;-0.316228
56;-0.235702;0.942809;-0.235702
57;-0.57735;0.57735;-0.57735
58;-0.942809;0.235702;-0.235702
59;-0.948683;0;-0.316228
60;-0.707107;0;-0.707107
61;-0.235702;0.235702;-0.942809
62;-0.316228;0;-0.948683
63;-0.942809;-0.235702;-0.235702
64;-0.57735;-0.57735;-0.57735
65;-0.235702;-0.235702;-0.942809
66;0;-0.316228;-0.948683
67;0;-0.707107;-0.707107
68;-0.235702;-0.942809;-0.235702
69;0;-0.948683;-0.316228
70;0.942809;-0.235702;-0.235702
71;0.57735;-0.57735;-0.57735
72;0.235702;-0.942809;-0.235702
73;0.235702;-0.235702;-0.942809
